rank,book,author
1,Brave New World,Aldous Huxley
2,Crime and Punishment,Fyodor Dostoevsky
3,Nineteen Eighty-Four,George Orwell
4,War and Peace,Leo Tolstoy
5,Waiting for the Barbarians,J. M. Coetzee
6,Catch-22,Joseph Heller
7,Beloved,Toni Morrison
8,Slaughterhouse-Five,Kurt Vonnegut
9,Blindness,Jose Saramago
10,The Sound and the Fury,William Faulkner
11,The Plague,Albert Camus
12,Invisible Cities,Italo Calvino
13,Nausea,Jean-Paul Sartre
14,"I, Claudius",Robert Graves
15,The Trial,Franz Kafka
16,A Portrait of the Artist as a Young Man,James Joyce
17,Life and Fate,Vasily Grossman
18,Darkness at Noon,Arthur Koestler
19,Germinal,Emile Zola
20,The Blood of Others,Simone de Beauvoir
21,Creation,Gore Vidal
22,Lolita,Vladimir Nabokov
23,In Search of Lost Time,Marcel Proust
24,Middlemarch,George Eliot
25,The Handmaid's Tale,Margaret Atwood
26,Fathers and Sons,Ivan Turgenev
27,Mrs Dalloway,Virginia Woolf
28,On the Road,Jack Kerouac
29,To Kill a Mockingbird,Harper Lee
30,The Grapes of Wrath,John Steinbeck
31,Wuthering Heights,Emily Bronte
32,For Whom the Bell Tolls ,Ernest Hemingway
33,The Quiet American,Graham Greene
34,There's No Such Thing as an Easy Job,Kikuko Tsumura
35,The Bostonians,Henry James
36,A Passage to India,E. M. Forster
37,Sons and Lovers,D. H. Lawrence
38,A Bend in the River ,V. S. Naipaul
39,Scoop,Evelyn Waugh
40,The Adventures of Augie March,Saul Bellow
41,Red Sorghum: A Novel of China,Mo Yan
42,The Cairo Trilogy,Naguib Mahfouz
43,One Hundred Years of Solitude,Gabriel Garcia Marquez
44,The Tin Drum,Gunter Grass
45,The Golden Notebook,Doris Lessing
46,Madame Bovary,Gustave Flaubert
47,Afterlives,Abdulrazak Gurnah
48,Lord of the Flies,William Golding
49,Jane Eyre,Charlotte Bronte
50,The Prime of Miss Jean Brodie,Muriel Spark
51,The Conservationist,Nadine Gordimer
52,The Book of Disquiet,Fernando Pessoa
53,The Silent Cry,Kenzaburo Oe
54,Things Fall Apart,Chinua Achebe
55,All Quiet on the Western Front,Erich Maria Remarque
56,The Unbearable Lightness of Being,Milan Kundera
57,Midnight's Children,Salman Rushdie
58,Oscar and Lucinda,Peter Carey
59,The Picture of Dorian Gray,Oscar Wilde
60,Wolf Hall,Hilary Mantel
61,My Name Is Red,Orhan Pamuk
62,Invisible Man,Ralph Ellison
63,U.S.A. trilogy,John Dos Passos
64,Go Tell It on the Mountain,James Baldwin
65,The Glass Bead Game,Herman Hesse
66,The Road,Cormac McCarthy
67,Revolutionary Road,Richard Yates
68,Gate of the Sun,Elias Khoury
69,Nights at the Circus,Angela Carter
70,Portnoy's Complaint,Philip Roth
71,Half of a Yellow Sun,Chimamanda Ngozi Adichie
72,"Girl, Woman, Other",Bernardine Evaristo
73,The Home and the World,Rabindranath Tagore
74,Under the Net,Iris Murdoch
75,The Siege of Krishnapur,J. G. Farrell
76,The God of Small Things,Arundhati Roy
77,No One Sleeps in Alexandria,Ibrahim Abdel Meguid
78,Atonement,Ian McEwan
79,The Blue Flower,Penelope Fitzgerald
80,That Awful Mess on the Via Merulana,Carlo Emilio Gadda
81,Austerlitz ,W. G. Sebald
82,The Woman in the Dunes,Kobo Abe
83,Gulliver's Travels,Jonathan Swift
84,The Dream of the Red Chamber,Cao Xueqin
85,The Way of All Flesh,Samuel Butler
86,The Good Soldier,Ford Madox Ford
87,Goodbye to Berlin,Christopher Isherwood
88,The Color Purple,Alice Walker
89,Les Miserables,Victor Hugo
90,Hard Times,Charles Dickens
91,G.,John Berger
92,Under the Volcano,Malcolm Lowry
93,Conversation in the Cathedral,Mario Vargas Llosa
94,Nostromo,Joseph Conrad
95,In Praise of Hatred,Khaled Khalifa
96,Don Quixote,Miguel de Cervantes
97,Pride and Prejudice,Jane Austen
98,Eugene Onegin,Alexander Pushkin
99,The Ghost Road,Pat Barker
100,The President,Miguel Angel Asturias
